User Name,IMEI,SIM BLOCK,Modified Date
alldevices@alldevices.uk,351777091776920,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,351777091778322,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,351777091780104,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,351777091780138,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,351777093748042,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,352503090496818,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549090412478,True,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549090418210,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091185628,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091185651,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091187574,True,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091193234,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091463900,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091694330,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091694355,True,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091694405,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091694454,True,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091694462,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091694850,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091695667,True,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091697267,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091697317,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091697333,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091697481,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091697523,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091699727,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091699735,False,2/3/2021 12:43:52 AM
alldevices@alldevices.uk,353549091700418,False,2/3/2021 12:43:52 AM
